,reviews
500,"

  The mask serves the purpose. Good for use for the first few times. But after 2 washes it starts pilling which causes irritation and itching while wearing over the nose. Not comfortable for long time use.  Should use better quality fabric to prevent from pilling.

"
501,"

  I am ordering this item for the second time.  First time this was perfect. But unfortunately this time I feel the quality is not up to the mark. Can't wear it at all. The band is too small to wear,so it is breaking. I bought a pack of 10. Used one mask, bands of other two broken when I tried to put, rest I should see. I will post pics too.

"
502,"

  Product seems original and good. However, the seller stole 3 masks from the box. Do not buy from ATOM Wellness seller.

"
503,"

  Pethetic quality and cheap material. I paid money but could not use it for even one time as mask strip got teared. It is as good as disposable 5 rupee masks so don't waste your money. I wanted to give Zero rating but these is no option in Amazon. In these tough times some companies are just making money by fooling customers.

"
504,"

  The elastic bands come off in a single use. They've been carefully stitched, delicately and flimsily so that they break on first use and you buy more masks immediately. How difficult is it to attach a band properly in two places? But why waste a perfectly good pandemic, eh? Till it lasts, keep people buying more masks.

"
505,"

  The images are inadequate. I misunderstood the product to have ear-loops, instead they have top and bottom loops and the locking system to fit ones head doesn’t hold it securely. Buy ones with ear-loops.

"
506,"

  I'm using this brand mask for couple of month. Comfortable for me. I think this will suit the small face people like me. Cause you can use the head band to adjust it.The packaging is little different based on the sellers.

"
507,"

  Very poor quality and jacked up price. Company is a COVID19 vulture.

"
508,"

  Received exactly what I wanted. It’s genuine N95 mask from Venus

"
509,"

  Not sure if it's a genuine product. The strap broke just while trying to put on once. I never thought venus is making such poor quality products and if it's duplicate, action must be taken from the venus.

"
510,"

  I am not happy at all...... it's showing white colour....but delivered grey colour musk... it's quality also not good

"
511,"

  Attachment of strap to the mask is weak and came adrift when worn for the 1st time.There is a strong smell of adhesive or some chemical emanating from mask when worn.I doubt if any quality control procedures exist and in reality if any certification takes place

"
512,"

  Amazing product genuine  v4400 n95 maskAnd i must say amazon is delivering these essential products very fast in these tough times too

"
513,"

  Strap getting detached...then no use. A quality product but cannot use due to this. I am shifting to cloth type.

"
514,"

  many damaged. When ordered for the first time it was good and now it was worst. Went for brand Venus and with my previous experience, but it turned up nasty this time

"
515,"

  2 out of 5 were defective pieces.Never believe this could be the way to fool customers.Dont buy .....Cause if it's defective they don't cognizance and replace it even.

"
516,"

  This is a genuine N95 mask... V good quality soft to wear.. very comfortable and fits properly...

"
517,"

  Very very poor mask quality in terms of making..The strap gets detached easily with slightest pressure and this happened several times admist my ward rounds!!!! Even the mask torn easily in another occassion!!

"
518,"

  The threads snap very quickly and then we have to sew them back on the mask . Brand New mask snapped on the first day

"
519,"

  I bought it with the trust that its being sold by cloudtail. But its very poor quality, loose strings. No N95. Cheating with customer. Cloudtail should not be doing it. Its plain fraud.p

"
520,"

  While the product is comfortable and nice, the quality of the strap and clip are terrible. I had purchased a set of 5 and in 2 of the masks, the nose clip broke in a day and in 2 other masks, the string broke lose.The quality is bad and I would not recommend it.

"
521,"

  Seems like cheap quality item and the price written over the item is 29.40 RS per mask. But payed 499 for 5 pieces.

"
522,"

  The water was leaking from the center joint of the mask when I filled it with some water in it. I doubt that it has all the required layers in it as I have used other N95 masks as well and this mask feels so thin as compared to others.

"
523,"

  One of the Masks out of 5 was found with a hole along the stitching line on front. Rest 4 found Good.

"
524,"

  Received the product today only. 100% original N95 mask. NOT sure where from the negative comments are coming. Will recommend the product.

"
525,"

  I had paid for 5 masks but only two masks have been delivered

"
526,"

  I have ordered a bunch of N95 masks for the past few weeks and this one is definitely duplicate. It stinks when I open it and its in grey color which was misleading as teh coverimage of the product was white standard Venus N95 mask.Dont buy it.

"
527,"

  Box was open and very low grade mask.. nose pin missing.. strap broke at time of puting first time.. amazon take action on the seller.. ewaves retails solution name itseld sound fraud

"
528,"

  Very poor quality..strap broken in two days of use...mask fabric also poor

"
529,"

  The masks are not authentic and complete waste of money.Earlier I have used venus N95 mask, compared these with earlier masks, quality of these mask is local.Do not buy

"
530,"

  Very bad product,Bubble up from the inside so it is not all wareable

"
531,"

  Defective product in packet which we realized later when wanted to use

"
532,"

  Poor quality item...not original venus product..I am a doctor working in covid wards..this is not the original venus N95 mask.the strings broke even before using..fraud...pls don't buy it

"
533,"

  V44++ pollution masks without N95 verification or niosh mark provided. Shameful. White one is by cloudtail and original. Yellow by TFW fake

"
534,"

  Item that I have received is not N95. Also, the metal around the nose area is very loose.

"
535,"

  Rubber straps broken in seconds while wearing , not one two of them.

"
536,"

  Ordinary quality, not upto the mark. Whatever picture given in the site , different when I got it. I""ll suggest not to buy this product with such huge MRP.

"
537,"

  Headband of one mask was not fixed with the mask. But mask bear NIOSH MARK. Manufacturer should be more careful in production and quality checking.

"
538,"

  Not sure where all the negative reviews are coming from, but in Mumbai, got the right mask. N95 stamped, as described

"
539,"

  Poor quality . one strap detached from joint with mask within 4 day. Needs frequent tightening of strap to avoid mask slipping down the face.

"
540,"

  written price on mask and purchased price is so much different, huge variation so doubt on quality of N95, also not given N95 certificate

"
541,"

  Received defective product and the straps are gone at first use..

"
542,"

  It's a NIOSH mask. Fit is not very good but better than the majority available.

"
543,"

  I have been using venus n95  since last 6 month...this time i got a fake product...i can tell u from feel of the masks ..dont purchase it

"
544,"

  It was rapid quick delivery from punky punnu e commerce and the n95 venus masks are also upto the mark and quality wise it is good. Full credits to quick  delivery than the estimated date.Not sure about durability have to see that

"
545,"

  Poor quality. Somenod the mask gets teared while wearing. Joints of the mask gets teared while wearing.

"
546,"

  This is certified N95 mask the best at a reasonable price thanks amazon

"
547,"

  Very poor quality... Tear off easily. Straps come off easily.

"
548,"

  Fake they are selling .... duplicate copy not even worth 10 rsThts why thy are selling it as not returnable

"
549,"

  Broke loose the elastic of 3 masks in a single day. Not durable at all.Typical ""Make in India"" product!Buy the 3M N95 masks.

"
550,"

  5 pieces received without any box . Only 1 piece was in sealed plastic cover and the remaining 4 plastic covers were in open cover. Appears to be refurbished and unhygienic item. Not at all recommended.

"
551,"

  I think they send me ok ok product to me so again i Just ordered a new pack of 5 let see what they are sending now according to the product review i m in doubtful mode lets see as i will receive will update here.

"
552,"

  Such perfect masks with hole in between...  Totally solves the purpose of wearing the mask .. out of 5 masks, 3 came with a hole on the nose

"
553,"

  Confident protection , been using the same model for almost 6 months now .

"
554,"

  The material is extremely good. The only problem it gets dirty very soon because of the colour. The fabric, the adjustable strap, etc is very good.

"
555,"

  Waste of money. Even string got detached just single use. It has hole in it...!

"
556,"

  Very bad quality

"
557,"

  Thanks for delivering the product. Though it is of different color and image as shown in the website, however, from google came to know that the delivered product is also of the same type.

"
558,"

  Not an useful product...Ordered 10 mask most of them are torn in the rope or in the centre of the mask...and the filtration layer is also not uniform some places thick and some places thin...waste of money...

"
559,"

  Very uncomfortable! Everytime it comes off from my nose...even the strap does not make it hold. Material is not bad but not serves the purpose if it comes off every now and then.

"
560,"

  Worst product... I would like to return it but unfortunately this product is not eligible under return policy.I thought its branded... It's duplicate one... Very much disappointed

"
561,"

  Don't buy not worth it, length of the strap is too small. All the crap gets in your mouth of you wear it.

"
562,"

  The product is not same as in the picture, I had specially ordered because it was White.The polly bag containing the Masks is smaller than the Masks making it squeeze inside, Now the SHAPE is not normal

"
563,"

  The product is not genuine as the bar code does not give any result about the product.

"
564,"

  Clearly a fake product. Do not buy.

"
565,"

  Thickness and it seems like used or fake

"
566,"

  This mask has a pungent smell on opening. You need to keep it open for a day before using it... Otherwise not much problem

"
567,"

  Quality is very bad feeling used product gave. I bought this venus company mask before I got good mask but this time I feel cheated by venus sent bad quality mask😡😡

"
568,"

  Counterfeit product. Thin layers. Becomes discoloured from the outside with a single use.

"
569,"

  No so good qualityLooks duplicate as my earlier purchase was much better in quality

"
570,"

  Straps got broken within ten minutes of use. Dust particles within the pack. Not sure if the product is original

"
571,"

  Mask is torn and it’s not usable ..the fabric is very thin ..we have been using Venus N95 since 1 year ..this is the very first time it’s like this ..I need my money back as it’s duplicate

"
572,"

  worst products. I have ordered the same product (venus v 4400 mask) repeatedly from other dealers also. but this time they supplied very poor quality masks. do not order. wastage of money.

"
573,"

  One of the masks was dirty on the outer part of the mask. Clearly, proper procedures aren't being followed while packing these masks.

"
574,"

  The mask is not comfortable to wear. Although it does the job of safety.

"
575,"

  this product might mostly be fake , the size was smaller and also thicknesses was not as other venus n95 i have owned previously

"
576,"

  So the image I uploaded says it all, the elastic breaks apart while you get to wear these masks, it's not just with 1 but with all masks (set of 5)

"
577,"

  Straps came out in 1 ek use even after twice in one week use

"
578,"

  Very low quality

"
579,"

  Duplicate products, Cheated  me. Why you sold like these products on your online store.Please  don't buy n 95 mask online. Every time I received duplicate products.

"
580,"

  Excellent product Lasts well Fibres don't come out soon like magnum Comfortable to adjust strap

"
581,"

  It's FFP1 mask not N95। Quality is good।

"
582,"

  It is a local and bad quality product do not buy

"
583,"

  Best in class

"
584,"

  Loops break

"
585,"

  Difficult to breathe thru it

"
586,"

  Product feels good but the  strap is broken in most of the masks.Pathetic quality control

"
587,"

  Received product as described

"
588,"

  It is not a original venus mask.it is a duplicate one.quality is very poor

"
589,"

  Good

"
590,"

  Good

"
591,"

  Dirty and used mask delivered.🤮

"
592,"

  Excellent Product with superb Value for money!!!

"
593,"

  The mask which I have purchased is not upto the mark. In one of the pack....the tag is short and no adjustments can't be made... felt unhappy with this product...

"
594,"

  Not of good quality..the strap easily breaks off...has used N95 venus masks previously..but this is of poor quality...

"
595,"

  The masks are not sewn properly and the metal strip in the mask is bent downwards or is coming out of the mask

"
596,"

  Original mask. good value for money

"
597,"

  Hope it will give us full protection

"
598,"

  It came with nice elastic and holding pins to tight easily and loose easily.Good one.

"
599,"

  Best right now

"
600,"

  Price is More for the Product

"
601,"

  Good..

"
602,"

  For safety

"
603,"

  quality is not upto the mark

"
604,"

  It's not an authentic product. The straps came out on the very first use. I have a previously bought venus mask, it's way better than this one.

"
605,"

  Just used mask one time and the strings broke, its a waste of money, duplicate product, the vendor should refund money and stop fooling people

"
606,"

  Duplicate masks. BEWARE. I have been using these same brand since March and these were definitely duplicate.

"
607,"

  Product is different from what shown in display. Not happy with the way marketting is done. It is unfair. Quality not up to the mark

"
608,"

  Fake product for N95 madk

"
609,"

  I bought it thinking that these will protect from viruses, but shocked to know that it doesn't protect from Viruses.

"
610,"

  ok with this price

"
611,"

  No foam padding below the nose clip. Pricks your nose. Otherwise it is a superb mask.

"
612,"

  Extremely unsafe mask it got open in front on the first use

"
613,"

  As compared to venus 4400 mask I had before these are coarse and rough and poor quality.  I DONT KNOW IF THESE ARE AUTHENTIC OR FAKES

"
614,"

  I did not find it value for money. It doesn't fit properly

"
615,"

  Welding of Elastic not good breaks easily. Nose Clip is of very low quality it doesn’t retain the grip 👎

"
616,"

  Ordered 5 packs got only 24 pieces instead of 25.

"
617,"

  It is ok to wear but price is too much regarding this product

"
618,"

  good mask. good quality

"
619,"


  Your browser does not support HTML5 video.


   Some masks are tored and others have broken wires.

"
620,"

  Strap of the mask detaches very quickly. Initial orders of the same products were good. Feeling that quality is getting worse.

"
621,"

  I have used a lot of mask from different brand in amazon. This is the best one. Go for it. But price is high

"
622,"

  Average quality, the strings are very weak. If you are right on a budget go with this. But I don't recommend this. It's not durable.

"
623,"

  Duplicate venus mask....dont buy

"
624,"

  Ordered for 5 masks, BUT received only 2 masks. Unhappy....It could be a oversight, but....

"
625,"

  Defective product strings of 03 mask out of 05 are broken or not attached

"
626,"

  The mask is made of very light material (tissue paper kind of material). Also the nose clip is not perfectly adjustable.

"
627,"


  Your browser does not support HTML5 video.


   Used products.they r directly or indirectly killing people

"
628,"

  Yellow strip is not good... After 2 hours of usage or while removing strip was tared. Thinckness is also not good.... Not worthy

"
629,"

  thesmasks are fake straps break apart when u try to put it on i have been using venus masks as i am a doctor but these are fake

"
630,"

  Everything as advertised. No complaints whatsoever.

"
631,"

  Quality issue ... Cheap and looks like washed and resold

"
632,"

  It seems original product. N95 printed , packing also nice. I am fully satisfied .I recommend every one to purchase .

"
633,"

  looks like a used mask to me bought a new one in store which feels completely different

"
634,"

  its badly fit and thickness is too loo from original 2019

"
635,"

  Mask is good but less is different color ,i m buying red color but receive yellow color.i m not happy

"
636,"

  This is not an original and it's missing a thick layer. Amazon should validate before promoting them.

"
637,"

  Satisfactory fitting and over all quality is good

"
638,"

  One mask is torn at two places. No return as per policy. So I need to move consumer's court.

"
639,"

  I ordered these two times as one my friend said product quality is good

"
640,"

  Strap are weak and not attached properly,  after two three use its come out

"
641,"

  It works! I couldn't even smell the foul smell outside after wearing this

"
642,"

  Quality is not good while comparing other N95 Masks

"
643,"

  Good mask but durability is very less within 1 week it worn out

"
644,"

  Good quality product at reasonable price. It will be used by our office employee as a protection from Covid 19

"
645,"

  One strip of mask is torn at the end of one day usage ..strip is pooly attached to mask

"
646,"

  Very good product

"
647,"

  It's a duplicate product. The strings get cut off while pulling and wearing. They ain't strong. Bad quality.

"
648,"

  All the masks had a gap in the seam in the front, probably rejects from quality control. Absolutely no use in filtering air.

"
649,"

  Worst mask..third class quality...please don’t buy it..it is better to have disposable mask...I want to return it

"
650,"

  Good Product, Using it from last 2 Months,  well Quality..

"
651,"

  It's 100 % original products & I'm so happy about this product.

"
652,"

  Good product. Good quality. Not washable.

"
653,"

  Ear loop / strap comming out of the musk.

"
654,"

  It's quality is moderate waste of money,,

"
655,"

  Quality not as venue product. Some kind of copy

"
656,"

  Inside coating not good as expectedit removes slowly n gave irritation

"
657,"

  Cheating, duplicate product, worst quality, strap got detached on first wear

"
658,"

  Not good .only u can take if u r not getting the mask in the market

"
659,"

  Bad quality.Nose pad found broken.Strip got torn of easily.

"
660,"

  Very poor quality..mask was torn in one end..also some mask nose fitting was broken..waste of money

"
661,"

  I am very disappointed ☹️.I order 10 pieces,but I got only 9 ..The quality few of them is not good.

"
662,"

  Looks fake or used, can't blame for 65 rs per piece

"
663,"

  String was not proper.It was detached  from mask.

"
664,"

  Pathetic quality. Two masks were not even switched properly. Waste of money. Donot buy

"
665,"

  one of the few authentic NIOSH N95 certified respirators.

"
666,"

  Waste of money. Cheap quality. String not even hold you for a day..

"
667,"

  Very thin masks. Equivalent to cotton masks.

"
668,"

  Proper fit. Good Quality. Washable. Durable. Nice product in 1-word!!!

"
669,"

  The thickness of this mask is not good .

"
670,"

  There were suppose to be 5 mask in this pack but I got only 2 masks  It's a cheating.

"
671,"

  Bad quality

"
672,"

  Poor  strip poor

"
673,"

  Good mask

"
674,"

  looks duplicate

"
675,"

  Bad

"
676,"

  It's not n95, marked as V 44

"
677,"

  Product is good and at affordable price.

"
678,"

  The mask aren't original- fake quality. And are not returnable

"
679,"

  Its good but expensive

"
680,"

  Decent mask,do give it a try

"
681,"

  Bad product don't buy

"
682,"

  Good product...in one or two masks the stripes r are lose ..

"
683,"

  Genuine mask. Please buy from Cloudtail.

"
684,"

  Nice package. Good product. Doesnt pinch the ear.

"
685,"

  Original n95 product from venus by cloudtail....

"
686,"

  Product thread connection failed on first use.

"
687,"

  sorry, enquired and came to know that it was delivered to the gateman.

"
688,"

  Ordered pack of 5 , got only 3

"
689,"

  Satisfied with the purchase. No doubt a genuine product...

"
690,"

  Small in size ....quality is not good

"
691,"

  Very low quality, the elastic strings would break within 4-5 days.

"
692,"

  Very bad

"
693,"

  The product is fine.The strapped of the Mask is not all good

"
694,"

  Not worth it.. seems duplicate.. smells bad.. not returnable

"
695,"

  3 pieces out of 5 were faulty pieces were delivered. Broken strings.

"
696,"

  Quality and function superb.

"
697,"

  Damaged item

"
698,"

  Good product

"
699,"


  Your browser does not support HTML5 video.


   Fake product

"
700,"

  Nice product  comfortable to wear

"
701,"

  Out of 10 masks 7 masks strap disconnected. Must be fake product

"
702,"

  Got 5pices mask...2are damaged..

"
703,"

  Quality not as expected

"
704,"

  Comfortable but poor quality. It's Looking duplicate.

"
705,"

  Very good product full value for money👍👍

"
706,"

  I received only 4 instead of 5 pieces .This is cheating.

"
707,"

  Low-quality product. I wonder if it's a genuine product.

"
708,"

  Picture and actual product not matching

"
709,"

  Not worth for the price and it is purely look like copy

"
710,"

  Nic product for non medical poeple,easy to use

"
711,"

  The tag comes-off from the mask attachment  quickly...

"
712,"

  So good that i have bought this again

"
713,"

  Don't buy this mask, they are playing with the lives.

"
714,"

  Liked. Overall good.

"
715,"

  Quality is very bad. Thin, damaged.

"
716,"

  Good product

"
717,"

  It costs very much

"
718,"

  These are not genuine venus masks. Dont buy these

"
719,"

  Fully comfy nd fully protective..

"
720,"

  Very poor quality

"
721,"

  I like it

"
722,"

  Worst quality mask. Broke within 5 mins of use.

"
723,"

  Worst quality  of mask.

"
724,"

  Duplicate Venus N95 product, worst experience.

"
725,"

  Very nice product . Authentic

"
726,"

  Worsr,Elastic is very poor.

"
727,"

  Bad quality.

"
728,"

  Value for money, good quality masks

"
729,"

  Nice

"
730,"

  Promised number of items not sent.

"
731,"

  Genuine product. Proper N95 mask.

"
732,"

  Nice quality, paisa vasul

"
733,"

  quality departed  as compare last buy

"
734,"

  Worst one

"
735,"

  Excellent

"
736,"

  Value for money

"
737,"

  Very good quality

"
738,"

  Worth buying

"
739,"

  good

"
740,"

  Received duplicate product.

"
741,"

  Received only 3 instead of 5 masks.

"
742,"

  its one time use mask and not worth. Neither its N95.

"
743,"

  I want protection from covid 19

"
744,"

  Cheap  quality, not as expected

"
745,"

  Good mask at reasonable prices

"
746,"

  Fits perfectly

"
747,"

  Nice product

"
748,"

  Small size for face

"
749,"

  Dislike the product

"
750,"

  Duplicate, low quality

"
751,"

  Great original product

"
752,"

  Poor Quality.

"
753,"

  Nice Product.

"
754,"

  Poor quality

"
755,"

  Fake product

"
756,"

  Comfortable

"
757,"

  Very bad quality

"
758,"

  All good

"
759,"

  I feel cheated.

"
760,"

  Nice product.

"
761,"

  Nice product

"
762,"

  Good quality mask

"
763,"

  nice

"
764,"

  Good

"
765,"

  Pic pockets

"
766,"

  Perfect

"
767,"

  This is the 2nd lot of this product that I am using.The experience with the first lot was excellent, be it thickness comfort or value for money. So much so that I was recommending other people to buy it. But the 2nd lot was terrible, no comfort, very thin poor quality fabric, poor fitting leading to fogging of glasses.I feel the drastic reduction in price in order to complete with others led to this dramatic deterioration in quality. I sincerely hope the manufacturers look into the matter.

"
768,"

  If it says its N95 or FFP2 S its worth buying.If it is FFP1 S It would not protect from the corona virus at all.FFP1 =Surgical MaskFFP2=N95 RespiratorFFP3=N99 RespiratorI am a doctor.Please have some trust.

"
769,"

  I bought these masks.. But they were never delivered. Amazon refunded my amount.But my review is based on the same masks which I bought from local market. Masks are good but air seal near nose area does not occur 100 percent.  Venus should improve the quality of nose clip used

"
770,"

  It is not an in 95 mask, because on the display image it is written as ffp1 which means that it can prevent 80% of the viruses/ particles on the other hand and 95 mask can prevent 95% virus.But its better than cloth mask or surgical mask which prevents 50%

"
771,"

  An average mask cloth mask is better than this. Not worth even Rs100

"
772,"

  Pathetic marketing strategy , it's not even N95 an they are doubling the price . Pack of 5 costs 1500, where as the actual price cost just 100-150 per mask. No ISI mark on it

"
773,"

  The product has all the telltale signs of a counterfiet. No LOT number, no TC number. Its a shame that counterfiets are sold just a make a bit more profit.

"
774,"

  After checking out NIOSH website, I found out that this particular type of (product) mask that is having a model number V4400N95 has got approved and its approval number is 84A-8126. Anyone can cross verify it.

"
775,"

  Genuine product if ordered via Cloudtail as a seller.. Not as good as a 3M Mask but absolutely does the work

"
776,"

  Guyz These Are Fake Product!!! With Fake Printing On Them... Instead Of Over Paying For These Fake Products Use 3 Layer Of Clothes If You Are Worried..

"
777,"

  N95 is never certified against viruses.

"
778,"

  Made in china.... Go corona

"
779,"

  Super

"
780,"

  Blood sucking leeches. Selling it for much higher rate. Trying to cash in on tragedy.

"
781,"

  out of all n95 masks...i recommend dis

"
782,"

  Quality is poor now..Mask is torn from midline.Straps breaks now so easily .Need quality improvement.Earlier it was good.

"
783,"

  Good Quality,comfort,value for money product must buy. I have used for hours and it is not sweaty nor wet during regular wear

"
784,"

  Local product..This is low quality product..very bad.May be not manufactured by Venus..Amazon should look into this..

"
785,"

  May Corona have your Money Hungry Family.

"
786,"

  The price is decreased according to government guidelines this is not the right price

"
787,"

  It's a duplicate product..no N95..cheating the people in the name of mask.

"
788,"

  Bad product

"
789,"

  In pack of there were only 2... fraud

"
790,"

  It's washable I need help

"
791,"

  Like

"
792,"


  Your browser does not support HTML5 video.


   The mask is undoubtedly NIOSH certified N95 mask, I verified the lot no. (There will be NIOSH N95 and lot no. stamped in black ink on right cheek side of mask)CONCLUSION:  I have used 3M N95 masks earlier, 3M masks are far better than these Venus masks. Venus masks definitely lack in overall quality control. But considering current situation knowing that it is NIOSH certified N95 masks and affordable. DEFINITELY RECOMMENDED.⚠️⚠️ NEVER wash the mask NEVER. These masks loses filtration capacity if washed. After usage if the inside surface feels moist then sun dry the mask and preserve it in plastic wrap then wear the mask after 3 days. (Doctors are doing this in shortage of N95s).👍No size issue. One size fits all size face.👍The metal nose clip is good and flexible thus having no gap in ridges of nose.👍The fabric of mask is soft, flexible and breathable thus comfortable for long usage.👍The heat stiching on and around the mask is neat and clean leaving no pores thus sealing mouth and nose properly.👍The elastic straps are good. They have an adjusting mechanism to tighten the mask properly. ABSOLUTELY AMAZING. The straps are soft and doesnot create pain around ear or neck after prolonged usage.👍The inside surface of the mask is very comfortable to wear for long as all the adjoining points of straps and noseclip are properly concealed into layers of fabric.👎🏿In some masks the end of the straps was not not properly heat sealed onto mask surface. Don't know the durability of those straps.👎🏿Need improvement in heat sealing around the rim of the mask (in some masks, not all of them)DIRECTION FOR WEARING AND MAINTENANCE:1. Never touch the inside of the mask.2. Try not to touch the exterior of the mask frequently.3. Hold the mask by the straps while wearing and taking off.4. There are 2 straps first wear the lower strap around the neck and then wear the upper strap around your head over the ears.5. Then tighten the straps by the adjustable rings provided one for each straps.6. Pinch the nose clip such that airtight seal is formed inside mask.

"
793,"

  The Venus masks are very reliable but the same cannot be said for the elastic bands that come with it. It's often frustrating to feel the elastic break /come off as you are spinning in a fresh out of the box mask. But having said that, it's still the one brand I have kept reforming to throughout the pandemic because of its comfort and reliability a mask. I should know. I am a health worker.

"
794,"

  Not so good . Straps were bad

"
795,"

  Good

"
796,"

  Good quality and comfort

"
797,"

  Useless .....strip broke  in first use

"
798,"

  This is not N 95 mask...

"
799,"

  No satisfying..... Quality is not good

"
800,"

  2 masks nose clib is not in positionBeing a dr I cant use itSend ma nice pieces to meMoney is wasted for me

"
801,"

  Good

"
802,"

  Used it..ordered again...nice product..

"
803,"

  Paper thin. I have been using venus 4440 in hospital rounds since start of pandemic. The real venus mask is much thicker.

"
804,"

  Wrinkled type, not a executive look. The quality that I don't know.How you got this with NIOSH approval.

"
805,"

  The pack must contain 5 mask, Recieved only 3 masks.Doubt about the quality as well

"
806,"

  Worst quality, elastic quality is not good, material is cheap, packing not good, I think it's a duplicate product. Sorry to say but it's not a quality product which I was Aspecting...

"
807,"

  Poor packaging and poor quality of the masks, the tightening bands are poorly stitched...

"
808,"

  Best quality product..

"
809,"

  Value for money and for real protectionwhen outside.

"
810,"

  Not value of money

"
811,"

  good

"
812,"

  Nice

"
813,"

  Paper thin. I have been using venus 4440 in hospital rounds since start of pandemic. The real venus mask is much thicker.

"
814,"

  Wrinkled type, not a executive look. The quality that I don't know.How you got this with NIOSH approval.

"
815,"

  The pack must contain 5 mask, Recieved only 3 masks.Doubt about the quality as well

"
816,"

  Worst quality, elastic quality is not good, material is cheap, packing not good, I think it's a duplicate product. Sorry to say but it's not a quality product which I was Aspecting...

"
817,"

  Poor packaging and poor quality of the masks, the tightening bands are poorly stitched...

"
818,"

  Best quality product..

"
819,"

  Value for money and for real protectionwhen outside.

"
820,"

  Not value of money

"
821,"

  good

"
822,"

  Nice

"
823,"

  Good product

"
824,"

  Very poor quality.

"
825,"

  Excellent💯

"
826,"

  When I first ordered it then it was ok. Quality of venus N95 masks is gradually decreasing.. Last delivery was pathetic..

"
827,"

  Seller Electrama.Product didn't come in sealed Venus packing shown in picture. The printing on mask is faded and the mask looks fake to me. Product is non returnable so can't return but disappointed with seller.

"
828,"

  Got original product when ordered initially but received fake used pieces when ordered again

"
829,"

  It’s cheating..!! Not original..!!Totally different from description given..!!Now after delivery no one is addressing my complaint.. !!Total losss of money and faith in Amazon .

"
830,"

  Received what seems to be surely a fake product, the irregularly sealed packs contain human hair inside them!!! I'm a health care professional and use Venus products on a daily basis; believe me this definitely doesn't seem to be from Venus, there are other attributes that suggest the same like extremely poor strap quality with zero elasticity, fasteners that doesn't hold, faded inking on the mask indicating lot number and other details. (Seller: Electrama, fulfillment by Amazon)

"
831,"

  Very Cheap Quality, it's  not an Original Venus , I am an medical professional , I am using this same model  mask for a long time but Original one is very Good ,but this product is very poor in Quality, please Don't buy this product, waste of money , I  request Amazon not to permit and encourage such kind of sellers , please assure the product before posting , it's an offence because this is a fake product of Venus sold in Amazon , I don't know how Venus company will allow such fraud to happen

"
832,"

  The product I received was looking just like the original mask but when I started using it, I could notice the difference between the mask which I used before and this one. The threads in this mask comes out very easily. It also had some volatile chemical smell.I could not return the product also. Overall, it was quite a bad experience for me and I felt like I have been cheated on this platform.

"
833,"

  This is the 2nd time I am receiving a defective item. Not in the packaging shown against the ordered item. The random mask I picked up appears washed!!!***A. The package that I received was not in the package shown in pictureB. The masks are in individual covers and seem to be original BUT the 1st mask I picked up for use appears to be washed and lint from the texture and band is clearly visibleC. Found a spec of dirt when I opened the first oneD. I got a sneeze as soon as I wore the 1st mask I openedE. This is NOT the same Venus masks that I am used to since last year

"
834,"

  Venus has reduced the length of the strap, earlier it was easier to wear now straps get easily torn off due to increase tension in strap Because of decrease in length of strap

"
835,"

  Product is not up to the mark at all. Nose clips are made up of plastic, not properly fir. Holes around the connection area of straps. Those are bought from shops are of much good quality. Seems there is some different product is sold on Amazon.

"
836,"

  Fake mask, very poor fit, low quality tieBEWARE !!!FAKE FAKE FAKE !!! WASTE OF MONEY

"
837,"

  Seller Electrama.Product didn't come in sealed Venus packing shown in picture. The printing on mask is faded and the mask looks fake to me. Product is non returnable so can't return but disappointed with seller.

"
838,"

  Got original product when ordered initially but received fake used pieces when ordered again

"
839,"

  It’s cheating..!! Not original..!!Totally different from description given..!!Now after delivery no one is addressing my complaint.. !!Total losss of money and faith in Amazon .

"
840,"

  Received what seems to be surely a fake product, the irregularly sealed packs contain human hair inside them!!! I'm a health care professional and use Venus products on a daily basis; believe me this definitely doesn't seem to be from Venus, there are other attributes that suggest the same like extremely poor strap quality with zero elasticity, fasteners that doesn't hold, faded inking on the mask indicating lot number and other details. (Seller: Electrama, fulfillment by Amazon)

"
841,"

  Very Cheap Quality, it's  not an Original Venus , I am an medical professional , I am using this same model  mask for a long time but Original one is very Good ,but this product is very poor in Quality, please Don't buy this product, waste of money , I  request Amazon not to permit and encourage such kind of sellers , please assure the product before posting , it's an offence because this is a fake product of Venus sold in Amazon , I don't know how Venus company will allow such fraud to happen

"
842,"

  The product I received was looking just like the original mask but when I started using it, I could notice the difference between the mask which I used before and this one. The threads in this mask comes out very easily. It also had some volatile chemical smell.I could not return the product also. Overall, it was quite a bad experience for me and I felt like I have been cheated on this platform.

"
843,"

  This is the 2nd time I am receiving a defective item. Not in the packaging shown against the ordered item. The random mask I picked up appears washed!!!***A. The package that I received was not in the package shown in pictureB. The masks are in individual covers and seem to be original BUT the 1st mask I picked up for use appears to be washed and lint from the texture and band is clearly visibleC. Found a spec of dirt when I opened the first oneD. I got a sneeze as soon as I wore the 1st mask I openedE. This is NOT the same Venus masks that I am used to since last year

"
844,"

  Venus has reduced the length of the strap, earlier it was easier to wear now straps get easily torn off due to increase tension in strap Because of decrease in length of strap

"
845,"

  Product is not up to the mark at all. Nose clips are made up of plastic, not properly fir. Holes around the connection area of straps. Those are bought from shops are of much good quality. Seems there is some different product is sold on Amazon.

"
